metric,race_var,week_num,geography,mean,se,geo_type,moe_95,moe_95_lb,moe_95_ub,sigdiff,date_int
depression_anxiety_signs,asian,wk13,AK,0.357853152669874,0.06299159138237785,state,0.12346351910946059,0.23438963356041342,0.48131667177933457,0,8/19–31
depression_anxiety_signs,asian,wk14,AK,0.3690297215686604,0.06550926853586302,state,0.1283981663302915,0.24063155523836888,0.49742788789895187,0,9/2–14
depression_anxiety_signs,asian,wk13,AL,0.33146782740377695,0.1214692563260359,state,0.23807974239903038,0.09338808500474657,0.5695475698028073,0,8/19–31
depression_anxiety_signs,asian,wk14,AL,0.38508862232595226,0.13672832080500866,state,0.26798750877781696,0.1171011135481353,0.6530761311037692,0,9/2–14
depression_anxiety_signs,asian,wk13,AR,0.24381977223670925,0.10232676114715165,state,0.20056045184841723,0.04325932038829203,0.44438022408512645,0,8/19–31
depression_anxiety_signs,asian,wk14,AR,0.23165155650426114,0.12274053255579788,state,0.24057144380936385,-0.008919887305102708,0.47222300031362496,0,9/2–14
depression_anxiety_signs,asian,wk13,"Atlanta-Sandy Springs-Roswell, GA",0.4051074872764012,0.10007421424231165,msa,0.19614545991493082,0.2089620273614704,0.601252947191332,0,8/19–31
depression_anxiety_signs,asian,wk14,"Atlanta-Sandy Springs-Roswell, GA",0.19848652944209175,0.053623555445433534,msa,0.10510216867304972,0.09338436076904202,0.30358869811514144,1,9/2–14
depression_anxiety_signs,asian,wk13,AZ,0.4039507099982187,0.1294509725008835,state,0.2537239061017317,0.15022680389648702,0.6576746160999504,0,8/19–31
depression_anxiety_signs,asian,wk14,AZ,0.4801136825891315,0.08016663250552515,state,0.1571265997108293,0.32298708287830225,0.6372402822999608,0,9/2–14
depression_anxiety_signs,asian,wk13,"Boston-Cambridge-Newton, MA-NH",0.26705886352695635,0.04924357358275627,msa,0.0965174042222023,0.17054145930475406,0.36357626774915863,1,8/19–31
depression_anxiety_signs,asian,wk14,"Boston-Cambridge-Newton, MA-NH",0.2659024890294277,0.04867965328754539,msa,0.09541212044358896,0.17049036858583874,0.36131460947301663,0,9/2–14
depression_anxiety_signs,asian,wk13,CA,0.2774399279213352,0.024720435408267516,state,0.04845205340020433,0.22898787452113087,0.3258919813215395,1,8/19–31
depression_anxiety_signs,asian,wk14,CA,0.2762432457663368,0.01936397521597534,state,0.037953391423311666,0.23828985434302513,0.31419663718964846,1,9/2–14
depression_anxiety_signs,asian,wk13,"Chicago-Naperville-Elgin, IL-IN-WI",0.42969978554529475,0.07630676086944731,msa,0.1495612513041167,0.28013853424117807,0.5792610368494114,0,8/19–31
depression_anxiety_signs,asian,wk14,"Chicago-Naperville-Elgin, IL-IN-WI",0.3488266967395584,0.05535409157019989,msa,0.10849401947759178,0.2403326772619666,0.4573207162171502,0,9/2–14
depression_anxiety_signs,asian,wk13,CO,0.38457161473786694,0.10202539679569118,state,0.1999697777195547,0.18460183701831223,0.5845413924574216,0,8/19–31
depression_anxiety_signs,asian,wk14,CO,0.06189425411749629,0.03212353518174796,state,0.062962128956226,-0.0010678748387297002,0.1248563830737223,1,9/2–14
depression_anxiety_signs,asian,wk13,CT,0.4095209373617037,0.08822600266340186,state,0.17292296522026765,0.23659797214143605,0.5824439025819713,0,8/19–31
depression_anxiety_signs,asian,wk14,CT,0.2814191551386774,0.07274862033070785,state,0.14258729584818738,0.13883185929049,0.42400645098686474,0,9/2–14
depression_anxiety_signs,asian,wk13,"Dallas-Fort Worth-Arlington, TX",0.2940213622433418,0.07775544628825962,msa,0.15240067472498883,0.14162068751835297,0.4464220369683306,0,8/19–31
depression_anxiety_signs,asian,wk14,"Dallas-Fort Worth-Arlington, TX",0.262633521784879,0.07648810089198621,msa,0.14991667774829298,0.112716844036586,0.41255019953317196,0,9/2–14
depression_anxiety_signs,asian,wk13,DC,0.38499291486955833,0.09017573009140148,state,0.17674443097914688,0.20824848389041145,0.5617373458487052,0,8/19–31
depression_anxiety_signs,asian,wk14,DC,0.3518954007285394,0.10293986683184073,state,0.20176213899040782,0.1501332617381316,0.5536575397189473,0,9/2–14
depression_anxiety_signs,asian,wk13,DE,0.33857065483064935,0.11236954269320565,state,0.22024430367868306,0.1183263511519663,0.5588149585093324,0,8/19–31
depression_anxiety_signs,asian,wk14,DE,0.4141382710137928,0.07525485302630454,state,0.1474995119315569,0.2666387590822359,0.5616377829453497,0,9/2–14
depression_anxiety_signs,asian,wk13,"Detroit-Warren-Dearborn, MI",0.43152673537615044,0.09571598018496859,msa,0.18760332116253842,0.24392341421361202,0.6191300565386888,0,8/19–31
depression_anxiety_signs,asian,wk14,"Detroit-Warren-Dearborn, MI",0.10468292486986248,0.04675365125264161,msa,0.09163715645517755,0.013045768414684938,0.19632008132504003,1,9/2–14
depression_anxiety_signs,asian,wk13,FL,0.2942965336028657,0.08067319530178176,state,0.15811946279149225,0.13617707081137342,0.4524159963943579,0,8/19–31
depression_anxiety_signs,asian,wk14,FL,0.26997666640803175,0.059613717311998965,state,0.11684288593151797,0.15313378047651377,0.38681955233954973,0,9/2–14
depression_anxiety_signs,asian,wk13,GA,0.3249541971401326,0.08862108827251505,state,0.1736973330141295,0.15125686412600306,0.4986515301542621,0,8/19–31
depression_anxiety_signs,asian,wk14,GA,0.24303768995128047,0.060861571108342456,state,0.11928867937235121,0.12374901057892926,0.3623263693236317,0,9/2–14
depression_anxiety_signs,asian,wk13,HI,0.40188353795513015,0.03552032705694735,state,0.0696198410316168,0.3322636969235134,0.47150337898674693,0,8/19–31
